CUSTOMER_ADDRESS_ID,CUSTOMER_ADDRESS_NUMBER,CUSTOMER_STREET,CUSTOMER_POSTCODE,CUSTOMER_CITY,COUNTRY_ID
1100406,26746,Maple Rd,3446,Ladoeiro,CD
1100551,60358,Lake Blvd,3184,Cifuentes,MK
1100403,34869,Lake Ct,3046,Cipesing,CI
1100592,63206,Pine Blvd,2689,Huangyang,RU
1100823,63206,Elm Rd,2726,Daba,CA
1100497,99242,Park Rd,4807,Andalan,RU
1100876,65191,Oak Dr,5229,Mainit,HN
1100931,63206,View Terr,2584,Talisayan,AU
1100944,34869,Maple Ct,4740,Baleagung,TZ
1100538,63286,Elm Terr,3241,Vavuniya,NG
1100346,99242,Elm Pl,2535,Kanshi,NZ
1100965,99242,Park Blvd,1615,Stockholm,AM
1100875,18533,Maple Ct,2800,Karanganyar,VN
1100284,26746,Cedar Pl,1293,Zuoxi,BY
1100829,46085,Maple Terr,4062,Perjuangan,UA
1100690,26895,Pine Ct,4325,Bacungan,PE
1100412,46085,Maple Blvd,3575,Xinshi,TR
1100286,60765,Elm St,2958,Xinyu,ID
1100859,18533,Oak Ave,4868,Nairobi,MN
1100970,63286,View Pl,1366,Svetlyy,BY
1100290,73369,Main Ct,5341,Tianjiaba,AR
1100337,87210,View Blvd,1477,Sukoreno,KZ
1100499,26895,Pine Terr,1161,Drammen,US
1100996,34869,Cedar Rd,3914,Imbang,CD
1100927,18533,Pine St,4793,Lalagsan,AM
1100706,80470,Pine Pl,1509,Sidomulyo,CI
1100449,63286,Pine Pl,3914,Imbang,CD
1100834,26163,Oak St,4793,Lalagsan,AM
1100664,63206,Lake Terr,4234,Huntington,TR
1100524,18533,Oak Ave,4065,Cibitungmasjid,CA
1100992,78494,Main Ave,4218,Bibrka,PL
1100295,52861,Pine Rd,4112,Guanting,UY
1100149,60765,Lake Ct,4779,Cermee,GR
1100629,46085,Park Ct,4868,Nairobi,MN
1100659,27341,Cedar Ct,2235,Manyana,NG
1100648,73369,Pine Blvd,1386,Jingjiao,RU
1100937,22657,Elm St,2651,Kudanding,CN
1100607,60765,Washington Dr,3086,Iyo,MK
1100360,18533,Pine Ln,2803,Bugene,CI
1100203,63206,Pine Ln,1792,Meixian,TZ
1100456,26895,Cedar Dr,1521,Guling,UK
1100921,99242,Park Ct,3513,Ukrainka,CA
1100416,27341,Pine Dr,4894,Matanza,BR
1100318,65191,Elm Terr,3935,Karangsari,KW
1100782,78494,Maple Ct,5037,Langchi,TN
1100848,26746,Cedar Pl,4278,Belfort,YE
1100050,63286,Elm Ct,4754,Heredia,MN
1100024,60358,Lake Blvd,3152,Carnot,SY
1100789,52861,Maple St,2232,Amphawa,LT
1100749,52861,Elm Ct,4520,Dalai,MQ
1100086,63206,Main Dr,1310,Yongchang,MX
1100319,87210,Main Terr,5125,Changting,LT
1100790,34869,Maple Ave,4677,Hengling,UK
1100891,26895,Cedar Rd,5216,Lindavista,TZ
1100365,46085,Washington Pl,3565,Chicago,UK
1100354,26746,Main Ave,3439,Wonodadi,NL
1100320,65191,Oak Blvd,5098,Gukovo,AR
1100632,34869,Park Dr,3896,Gabi,VN
1100420,63286,Pine Blvd,4765,Sanqiao,MN
1100870,87210,Pine Pl,3043,Quanzhou,NL
1100784,34869,Washington Ln,1881,Sunduk,PL
1100397,73369,Washington Ct,4414,Surkhakhi,CI
1100660,26895,Oak Ct,3869,Raoyang,MN
1100533,80470,Maple St,4034,Sampangbitung,UY
1100230,99242,Oak Ct,2080,Esquipulas,AM
1100819,26746,Pine Ave,3829,Lityn,US
1100956,87210,Lake Ct,2800,Karanganyar,VN
1100176,61344,Pine Blvd,4986,Buzdyak,PH
1100326,60765,Lake Rd,1755,Yanzhou,CU
1100830,63286,View Terr,2647,Taoyang,VN
1100922,61344,Pine Ln,2459,Balogo,SY
1100738,78494,Oak St,2950,Uralets,UA
1100440,73369,Oak Pl,2883,Pukou,UG
1100815,34869,View Ct,4391,Hagerstown,TR
1100518,61344,Pine Dr,2313,Bilbays,MN
1100839,52861,Elm Pl,4553,Garmeh,YE
1100695,63206,Cedar Ln,5214,Markivka,HR
1100924,73369,Pine Blvd,2739,Brooklyn,CU
1100373,63206,Park Rd,4168,Petong,IT
1100665,18533,Park Ct,1343,Tambo,HR
1100312,78494,Oak St,3040,Datong,MG
1100064,87210,Cedar Rd,1953,Pucara,ID
1100467,18533,Park Rd,4089,Strogino,PH
1100759,60765,Main Pl,3141,Jianxincun,SE
1100840,65191,Pine Ave,5115,Sumberarumkrajan,NL
1100470,26895,Maple Terr,2531,Dongxiang,MK
1100413,78494,Washington St,1848,Stuttgart,CU
1100837,27341,Main Dr,4220,Gaoping,SE
1100098,60765,Elm Dr,3204,Boucinha,VN
1100385,73369,Oak Pl,3113,Tapas,UY
1100401,73369,Elm Pl,3844,Melgar,PL
1100039,60358,Washington Dr,4334,Pavlovskaya,TH
1100224,27341,Oak St,5153,Xinglong,IT
1100317,52861,Lake St,2109,Anjozorobe,US
1100298,80470,View Rd,4172,Laibin,BR
1100217,26895,Elm Ln,1391,Huxingshan,FI
1100349,61344,Park St,4224,Maungatapere,FI
1100873,80470,Cedar Rd,1740,Tiron,ID
1100697,99242,Park Ln,4134,Potelych,TZ
1100535,18533,Park Ave,1261,Lubochnia,PK
